,name,required_age,is_free,currency,final,total_reviews,review_score
1186400,West Sweety,0,False,EUR,1.59,146,6
1186460,Songs Of Wuxia,0,False,EUR,5.69,8,0
1186510,Land of Ngoto,0,False,EUR,11.99,2,0
1186530,Business Wars - The Card Game,0,False,EUR,5.69,3,0
1186570,Die Fantastischen VR - Fantaventura,0,False,EUR,3.99,2,0
1186580,New York Mysteries: The Outbreak,0,False,EUR,5.69,18,7
1186630,1971 PROJECT HELIOS,0,False,EUR,14.99,3,0
1186640,Pumpkin Jack,0,False,EUR,29.99,1097,9
1186650,MADELA,0,False,EUR,3.99,3,0
1186690,Timpu's treasure,0,False,EUR,3.29,2,0
1186720,The Cruxis Sword,0,False,EUR,3.99,3,0
1186730,Terro Lunkka Adventures,0,False,EUR,0.79,1,0
1186740,Kyle is Famous,0,True,,,2,0
1186770,Disgrâce,0,False,EUR,2.39,1,0
1186100,Beast Brigade,0,False,EUR,8.19,5,0
1186160,All Day Dying: Redux Edition,0,False,EUR,8.19,26,7
1186220,Wire Lips,0,False,EUR,7.39,23,7
1186260,Bondage Girl,0,False,EUR,3.99,17,5
1186270,Nosferatu Lilinor,0,False,EUR,9.99,2,0
1186280,Dodge If you Can!,0,False,EUR,4.99,2,0
1186290,Ballance: The Return,0,False,EUR,2.39,9,0
1186310,Mailbox,0,False,EUR,0.78,2,0
1186340,Action Ball 2,0,False,EUR,5.69,6,0
1186350,Lethal Tempting Girls,0,False,EUR,3.99,2,0
1185600,神国：创造（The Kingdom of God）,0,False,EUR,6.59,1,0
1185620,NecroLand : Undead Corps,0,False,EUR,12.49,1,0
1185630,CubeParkour,0,False,EUR,3.99,2,0
1185660,Sex Adventure - The Board Game,0,False,EUR,2.39,6,0
1185700,Arrog,0,False,EUR,2.39,31,7
1185730,Lovely Hentai,0,False,EUR,0.79,6,0
1185740,Mira,0,False,EUR,8.19,5,0
1185820,Hollow Island,0,False,EUR,3.99,52,8
1185870,Skyland 1976,0,False,EUR,9.99,14,6
1185950,Wars of the Roses,0,False,EUR,8.19,8,0
1185960,Napoleon in Russia,0,False,EUR,8.19,2,0
1186030,Death Park,0,False,EUR,4.99,10,7
1186040,Worms Rumble,0,False,EUR,14.99,465,6
1185330,Blades of Gory,0,False,EUR,8.99,11,5
1185360,Alan Sharp,0,False,EUR,10.79,27,7
1185390,How to Become a Ninja: Part 1,0,False,EUR,0.79,1,0
1185410,Minigame Blast,0,False,EUR,4.99,1,0
1185470,Deathbloom: Chapter 2,0,False,EUR,8.19,14,7
1185480,Doom of the Clawn,0,False,EUR,0.79,4,0
1185520,Love Rhythm,0,False,EUR,1.59,147,8
1185560,Astellia,0,False,,,556,5
1184960,Escalation: Aggressors,0,False,EUR,3.99,11,7
1184980,The Explorer,16,False,EUR,33.99,1,0
1184990,Huuma Mina: The Secret of Immortality,0,False,EUR,12.49,65,8
1185000,Bloody trains,0,False,EUR,16.99,4,0
1185140,The Golden Cross,0,False,EUR,5.69,3,0
1185160,Inunaki Tunnel | 犬鳴トンネル,0,False,EUR,2.39,94,8
